Course,Course Title,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Extracted_Link,Prerequisites
COMP_SCI 449,Deep Learning,11-12:20 TuTh Demeter,11-12:20 TuTh Demeter,3:30-4:50 TuTh Pardo,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/449.html,"CS 349, CS PhD, IC"
COMP_SCI 450,Internet Security,11-12:20 TuTh Chen,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/450.html,"Required: COMP_SCI 340, COMP_SCI 343, COMP_SCI 354 prior to this classâ€™"
COMP_SCI 454,Computational Optics,,,3:30-4:50 TuTh Alexander,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/454.html,"IC, please fill out https://forms.gle, xssmw5W9WijDkML67"
COMP_ENG 452,Advanced Computer Architecture I,,TuTh 11-12:20 Hardavellas,,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/452.html,"COMP_ENG 361, consent of the instructor"
COMP_ENG 453,Parallel Architectures,,,MW 3:30-4:50 Joseph,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/453.html,"COMP_ENG 361, IC.Â COMP_ENG 452Â andÂ COMP_ENG 358Â are useful but not required"
COMP_ENG 456,Modern Topics in Computer Architecture,,,,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/456.html,"COMP_ENG 452 â€“ Advanced Computer Architecture I (, equivalent out-of-order processor architecture course); Useful but not required: COMP_ENG 453 â€“ Parallel Architectures"
COMP_ENG 459,VLSI Algorithmics,MW 2-3:20 S. Ogrenci,,,,https://www.mccormick.northwestern.edu/electrical-computer/academics/courses/descriptions/459.html,"Senior, graduate standing in ECE majors"
COMP_SCI 461,Deep Learning for Natural Language Processing,12:30-1:50 TuTh Demeter,,11-12:20 TuTh Demeter,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/461.html,"COMP_SCI 349, IC"
COMP_SCI 463,Generative Deep Models,,,2-4:50 W Pardo,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/463.html,"CS PhD students, IC"
COMP_SCI 469,Machine Learning and Artificial Intelligence for Robotics,12:30-1:50 TuTh Argall,,,,https://www.mccormick.northwestern.edu/mechanical/academics/courses/descriptions/469-machine--learning-and-artificial-intelligence-for-robotics.html,
COMP_SCI 474,Probabilistic Graphical Models,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/474.html,"COMP_SCI 349, PhD CS, IC"
COMP_SCI 496,Topics in Computational Imaging,,9-11:50 F Alexander,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-2.html,IC
COMP_SCI 496,The Design of Technological Tools for Thinking and Learning,,,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-7.html,"CS PhD students, IC"
COMP_SCI 496,Advanced Topics on Deep Learning,,,5-7:50 W Liu,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-8.html,"Basic familiarity with deep learning, including convolutional neural networks, LSTMs, attention mechanisms, understand essential deep learning framework including tensorFlow, pyTorch"
COMP_SCI 496,Quantum Computer Systems,,11-12:20 MW Smith,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-9.html,"Undergraduate students - CS 396, 496: Foundations of Quantum Computing, Quantum Information"
COMP_SCI 496,Topics in Algorithmic Statistics,,2-3:20 MW Racz,,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-12.html,IC
COMP_SCI 496,Special Topics In Data Systems Seminar,,,3-5:50 W Crotty,,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/496-15.html,IC
